Customer ID,Recency,Frequency,Monetary,future_spend_3m,predicted_clv
12346,235,12,77556.46,0.0,2.123473873701482
12347,39,6,4114.18,1519.14,131.73910767842997
12348,158,4,1709.4,310.0,74.37190543219596
12349,317,3,2671.14,1757.55,738.8220919718904
12350,219,1,334.4,0.0,-0.2189870861833465
12351,284,1,300.93,0.0,3.9515663828986076
12352,171,7,1905.61,944.23,71.50774115414374
12353,113,2,406.76,0.0,4.530886404430219
12354,141,1,1079.4,0.0,0.8636500274458037
12355,123,2,947.61,0.0,7.848553134226167
12356,155,5,6315.33,58.35,84.91782049745144
12357,297,2,12079.99,6207.67,690.0332927653917
12358,60,4,3203.87,683.2,23.276879829414312
12359,99,9,6059.09,2876.85,155.37689198931238
12360,22,7,3209.11,1043.78,254.05272681519426
12361,196,4,511.25,0.0,8.850879394652628
12362,29,5,1877.35,3478.88,42.718049430357084
12363,19,2,552.0,0.0,87.36713553937061
12364,21,1,623.92,689.18,60.78710623514054
12365,200,2,641.38,0.0,7.060704296696674
12366,543,1,500.24,0.0,2.719149525797012
12368,537,1,917.7,0.0,0.08812746906561056
12369,322,3,1791.15,0.0,1.6653867446361699
12370,184,6,3581.03,739.28,59.195132373771045
12371,318,3,2179.42,1887.96,143.37461192179967
12372,122,2,914.92,383.12,16.38658595225564
12373,220,3,1127.65,0.0,11.65721926528485
12374,330,3,2246.29,742.9300000000001,40.39686846193007
12375,7,1,230.3,227.2,50.06496331538858
12376,299,2,503.15,0.0,12.264755686059374
12377,224,4,3426.32,0.0,15.776596751247165
12378,39,2,5416.32,0.0,5.287704380585868
12379,79,3,1227.82,392.4,26.288338414243373
12380,95,8,7559.04,2117.26,235.03339996079592
12381,29,1,1268.74,576.57,329.5049805827588
12383,94,5,1850.56,0.0,29.622108672089354
12384,31,1,292.69,292.58,59.65572435695118
12385,288,1,1938.4,0.0,28.647309078528334
12386,247,2,660.8,0.0,4.592092642660461
12387,324,1,143.94,0.0,2.1796690240978567
12388,57,6,2788.79,1112.3200000000002,268.5527444087378
12389,312,3,1433.33,0.0,2.2202774538550965
12391,374,5,2312.53,460.89,53.690536594022916
12392,500,1,234.75000000000003,0.0,0.21262916827327402
12393,155,5,1877.95,521.5,100.3761397961091
12394,126,1,381.08,891.4,14.473260321258502
12395,21,11,3948.21,1119.06,402.3845049663203
12396,583,1,931.43,0.0,-0.7273354032831518
12397,44,1,1214.81,1195.09,168.51875373995628
12399,28,7,1962.3,0.0,6.566932711860708
12400,323,1,205.25,0.0,6.8795396846238
12401,212,1,84.3,0.0,0.4267907694828978
12402,232,6,1256.9,0.0,10.893567043238882
12403,431,1,591.6600000000001,427.7,26.03685399164024
12404,591,1,63.24,0.0,-0.17186162981344622
12405,58,1,1710.39,0.0,1.6127160205843345
12406,93,4,4596.31,1794.05,138.92078663850583
12407,43,4,1407.36,300.76,17.799102087905016
12408,8,7,3586.27,754.5,277.4215665925375
12409,92,5,18553.7,4865.59,602.4643937931992
12410,218,3,1013.71,0.0,1.939722964600671
12411,319,1,346.9,0.0,2.4157119773485713
12412,47,5,2260.79,336.14,48.05456478546159
12413,145,3,805.25,194.2,3.215333969795041
12414,126,6,952.41,0.0,0.4194208659413582
12415,8,22,121631.72,22826.65,6036.340756558722
12416,566,1,202.56,0.0,0.0889072497310039
12417,16,18,5984.33,832.58,431.5011784559783
12418,22,4,2021.2,0.0,3.787104900765435
12419,295,2,503.01,0.0,6.669282684477081
12421,24,5,920.12,178.48,86.89615909512789
12422,5,17,5231.8,0.0,85.92149140802151
12423,10,9,2413.75,208.64,141.84956504245088
12424,72,4,3340.03,0.0,19.34806474959958
12425,357,1,964.21,777.2,99.81634323801863
12426,104,2,1345.21,0.0,16.438761897264836
12427,281,1,607.0,522.3,7.478513073463127
12428,29,8,7548.12,408.34,295.8967037892788
12429,82,7,6580.39,905.52,273.460651295327
12431,28,23,9245.09,1612.88,685.0582799758362
12432,79,3,4016.66,1042.66,23.983793470399927
12433,0,6,13600.62,6980.64,3648.982778900897
12434,169,2,583.54,519.89,40.24999154433123
12435,177,5,10075.03,3850.9,498.9234714845242
12436,9,1,509.01,0.0,32.777316317544894
12437,7,32,10543.4,2140.0,2508.275073122296
12438,49,1,890.0699999999999,2016.78,78.73025155482767
12439,592,2,1158.18,0.0,0.07751917405872616
12440,371,2,859.2,0.0,-0.2616899888114241
12441,276,1,347.1,0.0,4.607945121257931
12443,641,1,485.31,0.0,0.1669929962117016
12444,31,2,2627.27,2378.19,90.29947871610779
12445,330,1,301.58000000000004,133.4,11.814538743021533
12447,152,1,476.49,0.0,3.4848746897052933
12449,1,5,3493.18,1342.71,131.31830089899756
12450,65,5,688.2,0.0,13.698370179126835
12451,127,5,8942.18,3727.7,114.47448651112335
12453,43,1,707.09,0.0,9.137779152282409
12454,305,4,13151.44,3528.34,298.18997584191925
12455,37,9,5589.45,290.5,111.15817000880818
12456,40,2,2265.4,915.64,6.391820854976099
12457,143,4,1699.93,1295.98,45.18380252267072
12458,194,3,1272.01,505.48,5.7701531926947185
12459,514,1,454.36,0.0,2.0697443556932664
12460,365,1,326.65,0.0,8.683636802764907
12461,3,2,826.88,0.0,7.529969276344291
12462,212,1,762.11,427.48,2.6520772226342126
12463,84,3,985.79,358.99,17.3024685623178
12464,15,6,780.55,431.5,48.18801037943606
12465,78,1,440.94,301.25,8.286680048948584
12466,591,1,56.73,0.0,0.19448278643724543
12467,332,1,132.8,0.0,0.4671092389948749
12468,97,5,3670.74,0.0,36.779677212354215
12469,432,2,3070.54,0.0,4.466143269550233
12470,599,1,211.95,0.0,-0.13325225005633826
12471,16,68,31256.14,8707.65,6243.853219942128
12472,48,17,16236.08,1644.51,290.8815567586122
12473,24,2,1186.25,2752.3,396.25438268121934
12474,8,26,9410.72,3013.73,1541.33533515311
12475,319,1,426.26,723.38,7.363571654685462
12476,50,18,10490.66,3624.75,216.4023220702582
12477,10,6,15890.66,4385.71,1097.0736458044657
12480,52,6,4328.17,1136.6799999999998,978.3931503125482
12481,89,13,10866.83,1494.56,489.9158578433255
12482,485,29,23691.4,0.0,-0.5912553697517657
12483,8,17,4259.66,860.9200000000001,1284.1297443510673
12484,10,10,5491.58,878.57,273.95838742936184
12485,438,1,708.1,0.0,11.180915428752249
12486,341,1,1037.28,0.0,2.3621340163653617
12487,640,1,285.29999999999995,0.0,0.3171759698631824
12489,245,1,334.93,0.0,0.28502959139893186
12490,2,17,7958.3,1865.34,1301.1040110183394
12492,14,2,578.39,136.82,4.9050389981350495
12493,75,2,433.74,0.0,15.948413483634713
12494,71,7,1495.63,377.24,22.164889123673632
12495,550,1,357.4,0.0,-0.2694910047289559
12496,529,2,54.09,0.0,0.8321525052385277
12497,310,2,5205.400000000001,1043.1,514.1981213578638
12499,469,1,393.72,0.0,1.5094292584871165
12500,16,14,3471.23,2483.98,711.8988553310185
12501,246,1,2169.39,0.0,0.5381830280360527
12502,5,5,3723.87,0.0,4.067092131429014
12503,493,1,1126.0,0.0,1.692281498419408
12504,326,2,297.0,482.05,11.153404229514239
12505,318,1,955.2,0.0,27.884473907888005
12506,142,1,73.5,0.0,-0.04460955322199973
12507,43,4,1844.06,0.0,1.151257563752203
12509,193,1,176.5,0.0,2.4786686437530654
12510,52,9,5178.02,0.0,149.85296045445804
12511,338,1,3084.02,0.0,41.734814107512285
12513,22,1,612.29,0.0,1.1570854894812999
12514,176,2,1597.76,0.0,0.4575713440468716
12515,262,1,383.7,0.0,3.97814938229045
12516,90,3,1919.76,728.86,64.0793809011451
12517,35,2,1538.7,964.14,30.11534992733348
12518,19,1,324.83,1732.06,523.4862637296607
12519,386,1,385.7,340.84,3.209017911825824
12520,51,4,2045.85,588.41,5.199125189919089
12521,52,1,599.68,0.0,7.459645471262993
12523,17,19,3600.13,772.02,621.3246088264463
12524,71,15,9762.87,1363.24,317.6801811554439
12525,407,3,973.73,0.0,-0.4475361886731085
12526,3,1,520.3,796.36,49.47483855277673
12527,204,4,671.72,63.790000000000006,46.73586343189821
12528,24,4,1287.37,646.11,144.24617684911462
12529,437,1,316.48,0.0,5.52309623312276
12530,33,8,3318.63,440.63,166.58594856292993
12531,595,1,1807.98,125.22,-0.7141569404456831
12533,537,2,1367.89,0.0,6.430230411040007
12534,40,1,1089.18,0.0,7.84429369408989
12535,1,2,716.35,0.0,33.956763282854965
12537,318,1,732.94,0.0,18.04940521776544
12538,287,1,276.5,363.95,9.837859910209605
12539,171,6,10164.09,1050.66,771.5706949759332
12540,1,27,18101.11,4153.38,3387.610039012675
12541,82,2,536.14,445.04,7.9853352316282535
12542,393,2,481.88,0.0,0.31876472987986093
12543,357,1,980.25,0.0,74.0324688358911
12545,169,1,628.15,372.24,12.251900186577618
12547,107,3,383.58,0.0,13.666943686446654
12548,75,1,95.2,0.0,2.387889113859847
12549,485,6,1575.68,0.0,0.28703886787294164
12551,267,1,168.0,0.0,0.13862876260395782
12553,19,9,3336.06,1272.69,371.3561545731689
12554,358,1,468.5,0.0,17.84097464763883
12555,591,1,129.23,0.0,-0.1654133241530225
12556,60,1,312.9,290.81,148.88864113135907
12557,67,7,15726.14,2990.0,745.1965800784166
12559,220,2,561.71,0.0,0.4038599414220152
12560,21,2,1436.31,697.7,275.48975127408664
12561,212,1,238.85,0.0,0.9734159882282345
12562,36,5,2790.41,2176.51,156.06602023859904
12563,318,1,249.24,0.0,3.793468510568985
12564,170,1,456.9,0.0,0.987123476495368
12565,198,1,145.92,0.0,0.8248552276928165
12567,5,14,12158.56,1551.3,432.0126996753576
12568,554,1,70.0,0.0,0.4629377698228267
12569,1,15,2167.68,1957.01,72.14320970447595
12570,591,1,77.52,0.0,-0.23409683273816886
12571,31,1,248.35,271.26,23.814773621971053
12573,136,5,717.41,0.0,2.5826420313552605
12574,225,1,218.45,0.0,1.6181976628168502
12575,366,2,622.8199999999999,0.0,1.139684247341565
12576,5,7,1763.44,379.28,12.818902405033397
12577,268,6,1191.84,461.91,18.633813292363154
12578,239,3,3456.6,1185.85,18.86000217177757
12580,156,2,1052.9,0.0,0.10626370970293701
12582,148,4,1980.4,0.0,11.085234634847353
12583,16,21,11398.27,3049.17,3064.0983058495585
12584,36,4,782.59,1555.56,38.41117847745674
12585,143,2,2040.1,0.0,3.1143030777384633
12586,284,3,1865.73,196.94000000000003,50.52134478759384
12588,308,3,743.88,214.9,25.06973508962464
12589,54,7,4180.48,515.1800000000001,224.8419368340893
12590,120,2,9864.26,0.0,7.572640011429302
12591,226,3,1352.15,0.0,1.2467921972445097
12592,1,5,2582.66,0.0,75.6458847927745
12593,18,3,418.1,0.0,33.96121855147659
12594,30,13,4281.79,808.32,809.6186137017228
12595,414,1,299.02,0.0,0.4913751099255443
12596,151,1,269.95,348.32,14.55514727383648
12597,92,2,1428.81,2382.41,152.56545648985875
12598,71,7,3095.39,1438.7,428.9772247836478
12599,36,12,2121.18,175.54000000000002,151.9303126952844
12600,22,19,4381.4400000000005,662.48,1003.8728961024343
12601,99,6,681.26,0.0,2.8785953442351566
12604,171,1,178.5,75.68,1.6790126599430781
12605,285,4,1232.95,0.0,4.0397281174611805
12606,591,1,21.0,0.0,0.42765521349525043
12608,314,1,415.79,0.0,3.101485708933714
12609,95,8,3109.74,326.12,272.1817864174177
12610,15,2,1256.25,843.29,168.65121401595098
12613,107,9,4953.21,1881.86,714.4984957975387
12614,187,1,315.6,0.0,0.49863472421326444
12615,77,5,4084.53,1656.45,185.95688426566215
12616,4,3,1131.1,0.0,5.849543847639403
12619,25,6,2227.6,1553.78,11.853398432596938
12620,114,1,561.66,777.75,45.06224326463169
12621,9,30,21281.18,3494.63,3460.728330482768
12622,141,1,180.1,0.0,0.7389774441446111
12623,185,7,3747.84,0.0,46.05304189375056
12624,15,2,641.13,0.0,6.724494006223837
12625,121,4,5164.88,0.0,30.067020428560866
12626,22,6,4774.0,1846.48,351.0027523033684
